marker_name,uniprot_id,comment,marker_id
DAPI,P68431,,4
ARID1A,O14497,,8
ATRX,P46100,,10
BCL6,P41182,,12
CDT1,Q9H211,,14
EBNA1,P03211,,16
EOMES,O95936,,20
ERB,P04626,,24
FOXP3,Q9BZS1,,28
GATA3,P23771,,30
GEMININ,O75496,,32
H2AX,P16104,,34
H3K27AC,,not found,36
H3K27ME3,,not found,38
HEY1,Q9Y5J3,,40
HISTONEH3,P68431,,42
IRF4,Q15306,,44
KI67,P46013,,46
P53,P04637,,50
PAX5,Q02548,,52
pHH3,,not found,56
PROX1,Q92786,,62
RB,P06400,,64
TBET,Q9UL17,,68
TCF1,P36402,,70
TOX,Q96NM4,,72
PTEN,P60484,,98
RELA,Q04206,,100
RELB,Q01201,,102
A-SMA,P62736,,130
ACE2,Q9BYF1,,136
ASS1,P00966,,138
ATP5A,P25705,,140
B-CATENIN,P35222,,142
B-TUBULIN,Q71U36,,144
B2M,P61769,,146
B7H3,Q5ZPR3,,148
BCL2,P10415,,150
BDCA-2,Q8WTT0,not found,152
C1Q,P02745,,154
C4A,P53420,,156
CA9,Q16790,,160
CATHEPSIN L,P07711,,162
CCR4,P51679,,164
CCR6,P51684,,166
CCR7,P32248,,168
CD10,P08473,,170
CD103,P38570,,172
CD106,P19320,,174
CD107A,P11279,,176
CD11B,P11215,,180
CD11C,P20702,,182
CD134,P43489,,188
CD138,P18827,,190
CD14,P08571,,192
CD15,P22083,,194
CD16,P08637,,196
CD162,Q14242,,198
CD163,Q86VB7,,200
CD164,Q04900,,202
CD19,P15391,,204
CD1A,P06126,,206
CD1B,P29016,,208
CD1C,P29017,,210
CD2,P06729,,212
CD20,P11836,,214
CD206,P22897,,216
CD21,P20023,,218
CD23,P06734,,220
CD25,P01589,,224
CD27,P26842,,226
CD271,P08138,,228
CD28,P10747,,230
CD3,P07766,,232
CD30,P28908,,234
CD31,P16284,,236
CD34,P28906,,238
CD35,P17927,,240
CD36,P16671,,242
CD38,P28907,,244
CD39,P49961,,246
CD4,P01730,,248
CD40,P25942,,250
CD44,P16070,,254
CD45,P08575,,256
CD45RA,P08575-8,,258
CD45RO,P08575-4,,260
CD49A,P56199,,266
CD5,P06127,,268
CD54,P05362,,270
CD56,P13591,,272
CD57,Q9P2W7,,274
CD61,P05106,,276
CD66B,P31997,,280
CD68,P34810,,282
CD69,Q07108,,284
CD7,P09564,,286
CD8,P01732,,294
CGAS,Q8N884,,302
CLEAVED_CASP3,P42574,,306
CLEC9A,Q6UXN8,,308
CLUSTERIN,Q96AJ1,,310
COLLAGEN,P02452,Type 1. We dont know which collagen. Therefore we dupliacte the row and map multiple collegens to this channel,312
COLLAGEN,P02462,Type 4. we dont know which collagen. Therefore we dupliacte the row and map multiple collegens to this channel,312
CS,O75390,,314
CTLA4,P16410,,316
CXCL13,O43927,,318
CXCR5,P32302,,320
CYTOKERATIN,P05783,,322
DC-SIGN,Q9NNX6,,324
DESMIN,P17661,,326
E-CADHERIN,P12830,,328
EGFR,P00533,,330
EPCAM,P16422,,332
FIBRINOGEN,P02675,beta chain,338
FIBRINOGEN,P02671,alpha chain,338
FIBRINOGEN,P02679,gamma chain,338
FN1,P02751,,340
G6PD,P11413,,344
GALECTIN-3,Q08380,,346
GITR,Q9Y5U5,,350
GLUT1,P11166,,352
GLYCOPHORIN_A,P02724,,354
GZMA,P12544,,358
GZMB,P10144,,360
HEPATOCYTE_AG,P55317,alpha,362
HER2,P04626,,364
HLA_1,,not found,366
HLA_DR,P01903,,370
HLA_DRA,P01903,,372
HLA_DRBPB,P01911,beta 1 chain,374
HLA_DRBPB,P79483,beta 3 chain,374
HLA_DRBPB,Q30154,beta 5 chain,374
HLA1,,not found,378
HSP27,P04792,,380
IBA1,P55008,,382
ICAM1,P05362,,384
ICOS,Q9Y6W8,,386
IDH,P51553,IDH3G,388
IDH,P50213,IDH3A,388
IDH,O43837,IDH3B,388
IDH,P48735,IDH2,388
IDH,O75874,IDH1,388
IGA1,P01876,,394
IGA2,P45384,,396
IGD,P0DOX3,,398
IGM,P0DOX6,,400
IL-1B,P01584,,404
INOS,P35228,,406
LAG3,P18627,,410
LAMINA,P02545,,412
LANGERIN,Q9UJ71,,414
LMP1,,not found,416
LUMICAN,P51884,,418
LYSOZYME,P61626,,420
LYVE-1,Q9Y5Y7,,422
LYVE1,,Already mapped before to LYVE-1,424
MCT,Q9ULC4,Using MCT1,428
MMP9,P14780,,432
MPO,P05164,,434
MUC1,P15941,,436
MUC5AC,P98088,,438
NAKATP,P05023,,442
NOTCH2,Q04721,,444
PD1,Q15116,,446
PDL1,Q9NZQ7,,450
PODOCIN,Q9NP85,,454
PODOPLANIN,Q86YL7,,456
RAS,P20936,Using RASA1,458
S100,P26447,,460
SIGELC-3,,not found,462
SIGLEC-7,,not found,468
SIGLEC-9,,not found,470
SPARC,P09486,,474
STING,Q86WV6,,478
TCR_B,,not found,480
TCR_GD,,not found,482
TCR_VA7.2,,not found,484
TIM3,Q8TDQ0,,486
TMPRSS2,O15393,,488
TREM2,Q9NZC2,,490
UROMODULIN,P07911,,492
VDAC1,P21796,,494
VIMENTIN,P08670,,496
VISTA,Q9H7M9,,498
